Title,Speaker,Moderator,Description,Date Start,Time Start,Date End,Time End,Location,Room,TimeZoneBlock,Categories,UID,EVENTID
Announcements,Aina Puce,,Glass Brain Award,20210621,140000,20210621,141000,mainauditorium,Main Auditorium,Africa/Americas/Europe,Announcements,597d1fd2-aeb4-11eb-a4c9-1e00b921e125,d92ad2facca911eba836
Combinatorial Creatures: Cortical Plasticity Within and Across Lifetimes,Leah Krubitzer,Simon Eickhoff,,20210621,141000,20210621,150000,mainauditorium,Main Auditorium,Africa/Americas/Europe,Talairach Lecture,597643f6-aeb4-11eb-b5d4-1e00b921e125,d92bec0acca911eb916e
Neuroanatomy for Neuroimagers: Bringing a systems-level perspective to neuroimaging analyses,"Sofie Valk, Casey Paquola, Maedbh King, Andreas Horn",Mac Shine,,20210621,151000,20210621,160000,symposiumhall1,Symposium Hall 1,Africa/Americas/Europe,Symposium,59772186-aeb4-11eb-8336-1e00b921e125,d92cfc30cca911eb868f
Current frontiers in statistical inference for neuroimaging data,"Stephanie Noble, Jeannette Mumford, Jonathan Rosenblatt, Bertrand Thirion",Bertrand Thirion,,20210621,151000,20210621,160000,symposiumhall2,Symposium Hall 2,Africa/Americas/Europe,Symposium,59773568-aeb4-11eb-9f19-1e00b921e125,d92df8e2cca911eb985a
"Neuromodulation of Disrupted Brain Networks: Mechanisms, Optimal Targeting, and Individual Treatment","Danny Wang, Yihong Yang, Colleen Hanlon, Wolf-Julian Neumann",Yihong Yang,,20210621,151000,20210621,160000,symposiumhall3,Symposium Hall 3,Africa/Americas/Europe,Symposium,59774922-aeb4-11eb-a52c-1e00b921e125,d92e701acca911ebb7f3
All Hands on Deck: Patching the Leaky Academic Pipeline (SP SIG),"Lucina Uddin, Antentor Hinton, Angeline Dukes",,,20210621,151000,20210621,160000,symposiumhall4,Symposium Hall 4,Africa/Americas/Europe,Symposium,59775d0c-aeb4-11eb-b092-1e00b921e125,d92f2328cca911eba70b
Software Demonstrations,Poster Presenters,,,20210621,160000,20210621,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597a78d8-aeb4-11eb-b53b-1e00b921e125,d92fe328cca911ebac49
Disorders of the Nervous System - Neurodegenerative/Late Life,Poster Presenters,,,20210621,160000,20210621,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597a813a-aeb4-11eb-8752-1e00b921e125,d9309188cca911eb975d
Brain Stimulation,Poster Presenters,,,20210621,160000,20210621,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597a88ee-aeb4-11eb-b38d-1e00b921e125,d9313b24cca911eb90de
Learning and Memory,Poster Presenters,,,20210621,160000,20210621,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597ac658-aeb4-11eb-8e0a-1e00b921e125,d931ce86cca911ebb5b6
Learning and Memory,TBD,,,20210621,160000,20210621,163000,posterhighlights1,Poster Highlights Room 1,Africa/Americas/Europe,Poster Highlights,5978fefa-aeb4-11eb-9b18-1e00b921e125,d9325a22cca911eb8576
Software Demonstrations,TBD,,,20210621,160000,20210621,163000,posterhighlights2,Poster Highlights Room 2,Africa/Americas/Europe,Poster Highlights,5978d152-aeb4-11eb-a85f-1e00b921e125,d932e2d0cca911eb92d9
Brain Stimulation,TBD,,,20210621,160000,20210621,163000,posterhighlights3,Poster Highlights Room 3,Africa/Americas/Europe,Poster Highlights,5978de74-aeb4-11eb-b80f-1e00b921e125,d9335feecca911eb9a92
Disorders of the Nervous System - Neurodegenerative/Late Life,TBD,,,20210621,160000,20210621,163000,posterhighlights4,Poster Highlights Room 4,Africa/Americas/Europe,Poster Highlights,5978d7ec-aeb4-11eb-bc0d-1e00b921e125,d933d802cca911eb877e
Let's talk: Best practices in fNIRS!,Dr. Maria Adelia de Aratanha,,,20210622,170000,20210622,180000,boothnirx,"NIRx Medical Technologies, LLC",Africa/Americas/Europe,Exhibitors Hour,ae3baa34-cca2-11eb-887e-1e00b921e125,d9344882cca911ebb8d2
Exhibitors Hour,Exhibitors,,,20210621,170000,20210621,180000,exhibithall,Exhibit Hall,Africa/Americas/Europe,Exhibitors Hour,597e0064-aeb4-11eb-9a35-1e00b921e125,d934b3bacca911eb9a55
Open Disucssions,Everyone,,,20210621,170000,20210621,180000,roundtables,Roundtables,Africa/Americas/Europe,Roundtable,6e7c81f6-b207-11eb-89cb-1e00b921e125,d9351a9ecca911eb9dcc
"Transitioning from academia to industry: Why, when, how and where?",Bimal Lakhani,,Student and Postdoc SIG Workshop 1,20210621,170000,20210621,180000,symposiumhall1,Symposium Hall 1,Africa/Americas/Europe,Roundtable,597d72de-aeb4-11eb-9fb9-1e00b921e125,d93586d4cca911eb8474
Glass Brain Interview,TBA,Aina Puce,,20210621,170000,20210621,180000,symposiumhall2,Symposium Hall 2,Africa/Americas/Europe,Roundtable,597d937a-aeb4-11eb-91bf-1e00b921e125,d935ebb0cca911ebb3ec
"Neuroimaging best practices beyond open science: Ethics, collaborations and high quality research",Satra Ghosh,,Student and Postdoc SIG Workshop 2,20210621,170000,20210621,180000,symposiumhall3,Symposium Hall 3,Africa/Americas/Europe,Roundtable,1aa37e50-b283-11eb-b2e5-1e00b921e125,d9364a24cca911ebb11e
Welcome reception,OHBM,,,20210621,180000,20210621,200000,loungetables,Social Lounge,Africa/Americas/Europe,Social,597cdea8-aeb4-11eb-9bbe-1e00b921e125,d936a3d4cca911ebaa41
Announcements,Aina Puce,,Early Career Investigator Award,20210621,220000,20210621,221000,mainauditorium,Main Auditorium,Americas/Asia/Australia,Announcements,597d306c-aeb4-11eb-aa0e-1e00b921e125,d936fde8cca911eb8d0e
Combinatorial Creatures: Cortical Plasticity Within and Across Lifetimes,Leah Krubitzer,Daniel Margulies,,20210621,221000,20210621,230000,mainauditorium,Main Auditorium,Americas/Asia/Australia,Talairach Lecture,5976bb2e-aeb4-11eb-99b6-1e00b921e125,d9375626cca911eba2f5
Mapping cortical morphology in the human and non-human primate brain and relations to function,"Trisanna Sprung-Much, Celine Amiez, Olivier Coulon, Katja Heuer","Trisanna Sprung-Much, Nicole Eichert, Michael Petrides",,20210621,231000,20210622,0,symposiumhall1,Symposium Hall 1,Americas/Asia/Australia,Symposium,59780006-aeb4-11eb-8ebf-1e00b921e125,d937b0e4cca911eb8c7f
OHBM-DGKN Alliance: International Symposium on Network Reorganization after Stroke,"Christian Grefkes, Adrian Guggisberg, Steven Small, Nick Ward","Christian Grefkes, Steven Small",,20210621,231000,20210622,0,symposiumhall2,Symposium Hall 2,Americas/Asia/Australia,Symposium,597806b4-aeb4-11eb-97b0-1e00b921e125,d93811cccca911eb878c
Advances in functional neuroimaging of spontaneous thought,"Choong-Wan Woo, Adam Turnbull, Matthias Mittner, Aaron Kucyi","Aaron Kucyi, Julia Kam, Jonathan Smallwood",,20210621,231000,20210622,0,symposiumhall3,Symposium Hall 3,Americas/Asia/Australia,Symposium,59780d4c-aeb4-11eb-936e-1e00b921e125,d9386f34cca911eba84e
Diversity Symposium: Racial Bias in Neuroscience,"Sharlene Newman, Sade Abiodun, Yakeel Quiroz","Rosanna Olsen, Amanpreet Badhwar, Lucina Uddin",,20210621,231000,20210622,0,symposiumhall4,Symposium Hall 4,Americas/Asia/Australia,Symposium,597813f4-aeb4-11eb-ae28-1e00b921e125,d938c83acca911ebb22c
Language,Poster Presenters,,,20210622,0,20210622,10000,posterhall,Poster Hall,Americas/Asia/Australia,Posters,597b3318-aeb4-11eb-bed1-1e00b921e125,d9392082cca911ebac35
"Sleep, Consciousness, Pain",Poster Presenters,,,20210622,0,20210622,10000,posterhall,Poster Hall,Americas/Asia/Australia,Posters,597b431a-aeb4-11eb-810c-1e00b921e125,d939788ccca911ebb7fb
Modeling and Analysis - Connectivity,Poster Presenters,,,20210622,0,20210622,10000,posterhall,Poster Hall,Americas/Asia/Australia,Posters,597b4d10-aeb4-11eb-a67e-1e00b921e125,d939d090cca911eb9168
Disorders of the Nervous System - Neurodevelopmental/Early Life,Poster Presenters,,,20210622,0,20210622,10000,posterhall,Poster Hall,Americas/Asia/Australia,Posters,597b5512-aeb4-11eb-a9a8-1e00b921e125,d93a296ecca911ebb1c2
Language,TBD,,,20210622,0,20210622,3000,posterhighlights1,Poster Highlights Room 1,Americas/Asia/Australia,Poster Highlights,59794f38-aeb4-11eb-82bf-1e00b921e125,d93a817acca911ebb83f
"Sleep, Consciousness, Pain",TBD,,,20210622,0,20210622,3000,posterhighlights2,Poster Highlights Room 2,Americas/Asia/Australia,Poster Highlights,597955d2-aeb4-11eb-b2a4-1e00b921e125,d93ad974cca911eb958b
Modeling and Analysis - Connectivity,TBD,,,20210622,0,20210622,3000,posterhighlights3,Poster Highlights Room 3,Americas/Asia/Australia,Poster Highlights,59795c4c-aeb4-11eb-ab40-1e00b921e125,d93b3162cca911ebb8fd
Disorders of the Nervous System - Neurodevelopmental/Early Life,TBD,,,20210622,0,20210622,3000,posterhighlights4,Poster Highlights Room 4,Americas/Asia/Australia,Poster Highlights,597962ca-aeb4-11eb-be57-1e00b921e125,d93b88fecca911eb9158
Let's talk: Best practices in fNIRS!,Dr. Jeremy Burnison,,,20210622,10000,20210622,20000,boothnirx,"NIRx Medical Technologies, LLC",Americas/Asia/Australia,Exhibitors Hour,ae47b278-cca2-11eb-991a-1e00b921e125,d93be1c8cca911eb80ed
Exhibitors Hour,Exhibitors,,,20210622,10000,20210622,20000,exhibithall,Exhibit Hall,Americas/Asia/Australia,Exhibitors Hour,597e0886-aeb4-11eb-b6bc-1e00b921e125,d93c39b6cca911eb8278
Open Disucssions,Everyone,,,20210622,10000,20210622,20000,roundtables,Roundtables,Americas/Asia/Australia,Roundtable,6e7fae26-b207-11eb-bb8d-1e00b921e125,d93c91cccca911eb8009
Getting the incentives right: Rethinking how we define academic success,Cooper Smout,,Student and Postdoc SIG Workshop 3,20210622,10000,20210622,20000,symposiumhall4,Symposium Hall 4,Americas/Asia/Australia,Roundtable,597d7af4-aeb4-11eb-a675-1e00b921e125,d93cea50cca911eb8634
Diversity Roundtable,TBA,,,20210622,10000,20210622,20000,symposiumhall2,Symposium Hall 2,Americas/Asia/Australia,Roundtable,597dc506-aeb4-11eb-aaf4-1e00b921e125,d93d42cacca911eb9de2
Kidz Live Review - Korean,Soohyun Kim,"Hyang Woon Lee, Kangjoo Lee, Eunji Cho",Organized by the Diversity and Inclusivity Committee,20210622,10000,20210622,20000,symposiumhall1,Symposium Hall 1,Americas/Asia/Australia,Roundtable,16914690-aeb8-11eb-b0bf-1e00b921e125,d93d9b4ccca911ebb7f7
Navigating academic careers: What are our options and how can we reach our goals?,Mariam Aly,,Student and Postdoc SIG Workshop 4,20210622,10000,20210622,20000,symposiumhall3,Symposium Hall 3,Americas/Asia/Australia,Roundtable,1aa7456c-b283-11eb-8f8d-1e00b921e125,d93df364cca911eb9bea
OHBM Leadership Open House,OHBM Council,Randy Gollub,,20210622,10000,20210622,20000,roundtables,Roundtables,Americas/Asia/Australia,Roundtable,597df81c-aeb4-11eb-82f5-1e00b921e125,d93e4b66cca911eb98d1
Welcome reception,OHBM,,,20210622,20000,20210622,40000,loungetables,Social Lounge,Americas/Asia/Australia,Social,597ce6de-aeb4-11eb-8a8e-1e00b921e125,d93ea3c2cca911eb8a2a
"Social Neuroscience, Emotion and Motivation",Poster Presenters,,,20210622,80000,20210622,100000,posterhall,Poster Hall,Africa/Asia/Europe,Posters,597be9f0-aeb4-11eb-9787-1e00b921e125,d93efc14cca911eb9e6f
"Perception, Attention and Motor Behavior",Poster Presenters,,,20210622,80000,20210622,100000,posterhall,Poster Hall,Africa/Asia/Europe,Posters,597bf7c6-aeb4-11eb-bcf9-1e00b921e125,d93f5434cca911ebbdc3
Language,Poster Presenters,,,20210622,80000,20210622,100000,posterhall,Poster Hall,Africa/Asia/Europe,Posters,597c050c-aeb4-11eb-8a97-1e00b921e125,d93fac74cca911eb9972
Modeling and Analysis - Activation,Poster Presenters,,,20210622,80000,20210622,100000,posterhall,Poster Hall,Africa/Asia/Europe,Posters,597c136c-aeb4-11eb-93f5-1e00b921e125,d94004bacca911eba64e
Neuroinformatics and Data Sharing,Poster Presenters,,,20210622,80000,20210622,100000,posterhall,Poster Hall,Africa/Asia/Europe,Posters,597c1efa-aeb4-11eb-970a-1e00b921e125,d9405cdacca911eb8cdd
Neuroanatomy,Poster Presenters,,,20210622,80000,20210622,100000,posterhall,Poster Hall,Africa/Asia/Europe,Posters,597c274c-aeb4-11eb-954e-1e00b921e125,d940b57acca911ebafcd
"Physiology, Metabolism and Neurotransmission",Poster Presenters,,,20210622,80000,20210622,100000,posterhall,Poster Hall,Africa/Asia/Europe,Posters,597c3006-aeb4-11eb-b70b-1e00b921e125,d9410d9ccca911eb92e5
Lifespan Development,Poster Presenters,,,20210622,80000,20210622,100000,posterhall,Poster Hall,Africa/Asia/Europe,Posters,597c382e-aeb4-11eb-b147-1e00b921e125,d9416628cca911ebb762
Disorders of the Nervous System - Psychiatric,Poster Presenters,,,20210622,80000,20210622,100000,posterhall,Poster Hall,Africa/Asia/Europe,Posters,597c404c-aeb4-11eb-8cea-1e00b921e125,d941be06cca911ebb1a7
Genetics,Poster Presenters,,,20210622,80000,20210622,100000,posterhall,Poster Hall,Africa/Asia/Europe,Posters,597c4882-aeb4-11eb-921a-1e00b921e125,d942162ecca911eb8622
"Social Neuroscience, Emotion and Motivation",TBD,,,20210622,80000,20210622,83000,posterhighlights1,Poster Highlights Room 1,Africa/Asia/Europe,Poster Highlights,5979daac-aeb4-11eb-9d14-1e00b921e125,d9426e80cca911ebbdcb
Language,TBD,,,20210622,80000,20210622,83000,posterhighlights2,Poster Highlights Room 2,Africa/Asia/Europe,Poster Highlights,5979e90c-aeb4-11eb-9d02-1e00b921e125,d942c6dccca911eb9b43
Neuroinformatics and Data Sharing,TBD,,,20210622,80000,20210622,83000,posterhighlights3,Poster Highlights Room 3,Africa/Asia/Europe,Poster Highlights,5979f74c-aeb4-11eb-9031-1e00b921e125,d9431edecca911ebae7a
"Physiology, Metabolism and Neurotransmission",TBD,,,20210622,80000,20210622,83000,posterhighlights4,Poster Highlights Room 4,Africa/Asia/Europe,Poster Highlights,597a057a-aeb4-11eb-9960-1e00b921e125,d94376aecca911ebbb21
Disorders of the Nervous System - Psychiatric,TBD,,,20210622,80000,20210622,83000,posterhighlights5,Poster Highlights Room 5,Africa/Asia/Europe,Poster Highlights,597a14ae-aeb4-11eb-a263-1e00b921e125,d943ceb0cca911eba6f9
"Perception, Attention and Motor Behavior",TBD,,,20210622,90000,20210622,93000,posterhighlights1,Poster Highlights Room 1,Africa/Asia/Europe,Poster Highlights,5979e1be-aeb4-11eb-9d86-1e00b921e125,d9442888cca911eb81b2
Modeling and Analysis - Activation,TBD,,,20210622,90000,20210622,93000,posterhighlights2,Poster Highlights Room 2,Africa/Asia/Europe,Poster Highlights,5979f01e-aeb4-11eb-a36e-1e00b921e125,d9448128cca911ebba65
Neuroanatomy,TBD,,,20210622,90000,20210622,93000,posterhighlights3,Poster Highlights Room 3,Africa/Asia/Europe,Poster Highlights,5979fe42-aeb4-11eb-a44c-1e00b921e125,d944da08cca911eb8139
Lifespan Development,TBD,,,20210622,90000,20210622,93000,posterhighlights4,Poster Highlights Room 4,Africa/Asia/Europe,Poster Highlights,597a0d10-aeb4-11eb-9235-1e00b921e125,d945325acca911ebb786
Genetics,TBD,,,20210622,90000,20210622,93000,posterhighlights5,Poster Highlights Room 5,Africa/Asia/Europe,Poster Highlights,597a1da8-aeb4-11eb-b12a-1e00b921e125,d9458b9ccca911eb916e
Diagnostic Confidence in Neuro with Speed and Precision,Philips,,,20210622,130000,20210622,140000,symposiumhall1,Symposium Hall 1,Africa/Americas/Europe,Sponsored Symposium,597cbd76-aeb4-11eb-9b54-1e00b921e125,d945e418cca911eb81e6
Announcements,Aina Puce,,Open Science Award Presenter: Janine Bijsterbosch\n  Education in Neuroimaging Award Presenter: Randy Gollub,20210622,140000,20210622,141000,mainauditorium,Main Auditorium,Africa/Americas/Europe,Announcements,597d40f4-aeb4-11eb-b4d2-1e00b921e125,d9463da8cca911ebb07f
INS-fMRI: a method for mapping mesoscale connectomes in nonhuman primates,Anna Wang Roe,Randy Gollub,,20210622,141000,20210622,150000,mainauditorium,Main Auditorium,Africa/Americas/Europe,Keynote,597663a4-aeb4-11eb-b254-1e00b921e125,d9469654cca911eb9ecb
"Imaging the Brainstem: Approaches, Challenges and Opportunities","Ruud Lucas van den Brink, Jan Willem de Gee, David Clewett, Heidi Jacobs, Veronica M�ki-Marttunen","Veronica M�ki-Marttunen, Beth Lloyd",,20210622,151000,20210622,160000,symposiumhall1,Symposium Hall 1,Africa/Americas/Europe,Symposium,59781ad2-aeb4-11eb-973c-1e00b921e125,d946ef9ecca911eba639
Learning from high-dimensional neuroimaging data,"Jae-Joong Lee, Qunfang Long, Robyn Miller, Jing Sui","Vince Calhoun, Jing Sui",,20210622,151000,20210622,160000,symposiumhall2,Symposium Hall 2,Africa/Americas/Europe,Symposium,597821a8-aeb4-11eb-ad15-1e00b921e125,d947484ccca911ebacc1
Addressing the Social Limitations in Open Science,"Matteo Mancini, Johanna Bayer, Melvin Selim Atay, Katie Bottenhorn, Aki Nikolaidis, Sofie Valk","Aki Nikolaidis, Gabriel Gonzalez",,20210622,151000,20210622,160000,symposiumhall3,Symposium Hall 3,Africa/Americas/Europe,Symposium,59782874-aeb4-11eb-93c3-1e00b921e125,d947a15ccca911eb9981
PET Imaging of Brain Connectivity: Hype or Future?,"Aldana Lizarraga, Silvia Caminiti, Andreas Hahn, Joana Pereira","Arianna Sala, Igor Yakushev",,20210622,151000,20210622,160000,symposiumhall4,Symposium Hall 4,Africa/Americas/Europe,Symposium,59782f40-aeb4-11eb-9db6-1e00b921e125,d947f9aecca911eb9548
Higher Cognitive Functions,Poster Presenters,,,20210622,160000,20210622,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597a90d2-aeb4-11eb-a40e-1e00b921e125,d948521ecca911eb8b6c
"Sleep, Consciousness, Pain",Poster Presenters,,,20210622,160000,20210622,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597a9852-aeb4-11eb-a6df-1e00b921e125,d948aaaccca911ebb841
Modeling and Analysis - Multivariate Approaches,Poster Presenters,,,20210622,160000,20210622,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597aa734-aeb4-11eb-8ce0-1e00b921e125,d949031ccca911eb924c
Disorders of the Nervous System - Neurodevelopmental/Early Life,Poster Presenters,,,20210622,160000,20210622,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597ab698-aeb4-11eb-b977-1e00b921e125,d9495c22cca911eb93c6
Higher Cognitive Functions,TBD,,,20210622,160000,20210622,163000,posterhighlights1,Poster Highlights Room 1,Africa/Americas/Europe,Poster Highlights,5978e4d0-aeb4-11eb-8a89-1e00b921e125,d949b47ecca911eb9937
"Sleep, Consciousness, Pain",TBD,,,20210622,160000,20210622,163000,posterhighlights4,Poster Highlights Room 4,Africa/Americas/Europe,Poster Highlights,5978eb2e-aeb4-11eb-b511-1e00b921e125,d94a0ce4cca911ebaed0
Modeling and Analysis - Multivariate Approaches,TBD,,,20210622,160000,20210622,163000,posterhighlights3,Poster Highlights Room 3,Africa/Americas/Europe,Poster Highlights,5978f1a8-aeb4-11eb-ae6f-1e00b921e125,d94a64f0cca911eb9996
Disorders of the Nervous System - Neurodevelopmental/Early Life,TBD,,,20210622,160000,20210622,163000,posterhighlights2,Poster Highlights Room 2,Africa/Americas/Europe,Poster Highlights,5978f862-aeb4-11eb-aa04-1e00b921e125,d94abd7ecca911ebb9b8
fNIRS - do I need short channels and what do I gain from adding physiology?,Dr. Mahipal Choudhary,,,20210623,170000,20210623,180000,boothnirx,"NIRx Medical Technologies, LLC",Africa/Americas/Europe,Exhibitors Hour,ae5866e2-cca2-11eb-8002-1e00b921e125,d94b15eecca911ebabc3
Exhibitors Hour,Exhibitors,,,20210622,170000,20210622,180000,exhibithall,Exhibit Hall,Africa/Americas/Europe,Exhibitors Hour,597e109a-aeb4-11eb-abe5-1e00b921e125,d94b6e4acca911eba93a
Open Disucssions,Everyone,,,20210622,170000,20210622,180000,roundtables,Roundtables,Africa/Americas/Europe,Roundtable,6e7fc794-b207-11eb-8cf5-1e00b921e125,d94bc6b0cca911eb93cf
Faliure Five Ways Roundtable,TBA,,,20210622,170000,20210622,180000,symposiumhall2,Symposium Hall 2,Africa/Americas/Europe,Roundtable,597da3e4-aeb4-11eb-8c20-1e00b921e125,d94c1f86cca911ebae75
Research Funding Roundtable,"Ken Whang, Almut Kelber, Paweł Świeboda, Marlène Bartes, John Ngai",Nicola Palomero-Gallagher,,20210622,170000,20210622,180000,symposiumhall1,Symposium Hall 1,Africa/Americas/Europe,Roundtable,bebafe0c-b62b-11eb-b49f-1e00b921e125,d94c783acca911ebb798
Student/Postdoc SIG Party,Student/Postdoc Special-Interest-Group,,,20210622,180000,20210622,200000,loungetables,Social Lounge,Africa/Americas/Europe,Social,597cff3e-aeb4-11eb-9327-1e00b921e125,d94cd0becca911eb993b
Diagnostic Confidence in Neuro with Speed and Precision,Philips,,,20210622,210000,20210622,220000,symposiumhall1,Symposium Hall 1,Americas/Asia/Australia,Sponsored Symposium,597cc5e6-aeb4-11eb-9390-1e00b921e125,d94d29a6cca911eb967d
Announcements,Aina Puce,,Mentor Award Presenter: Carolina Makowski\n  Diversity & Inclusivity Champion Award Presenter: Jessica Damoiseaux\n  Replication Award Presenter: David Kennedy,20210622,220000,20210622,221000,mainauditorium,Main Auditorium,Americas/Asia/Australia,Announcements,597d59f4-aeb4-11eb-ae30-1e00b921e125,d94d8248cca911eb8a3f
Integrating mesoscale human brain measurements in the human visual pathways,Dora Hermes,Sepideh Sadaghiani,,20210622,221000,20210622,230000,mainauditorium,Main Auditorium,Americas/Asia/Australia,Keynote,5976e478-aeb4-11eb-854f-1e00b921e125,d94ddb4ccca911eba1b0
From bench to bed-side: Quantifying brain microstructure using multi-parameter MRI,"Kathryn Keenan, Christophe Phillips, Susie Huang, Christia Lambert","Bogdan Draganski, Nikola Stikov",,20210622,231000,20210623,0,symposiumhall1,Symposium Hall 1,Americas/Asia/Australia,Symposium,59789066-aeb4-11eb-80aa-1e00b921e125,d94e33facca911eb88e6
Identifying and reducing model bias in network neuroscience,"Manjari Narayan, Andrew Reid, Alexandros Goulas, Mikail Rubinov","Mikail Rubinov, Lucina Uddin",,20210622,231000,20210623,0,symposiumhall2,Symposium Hall 2,Americas/Asia/Australia,Symposium,597876e4-aeb4-11eb-a076-1e00b921e125,d94e8cd8cca911eb92b4
